,console,units_sold,week_of
3749,PSV,128,5/13/2019
3750,PSV,191,5/20/2019
3751,PSV,134,5/27/2019
3752,PSV,132,6/3/2019
3753,PSV,123,6/10/2019
3754,PSV,114,6/17/2019
3755,PSV,122,6/24/2019
3756,PSV,112,7/1/2019
3757,PSV,105,7/8/2019
3758,PSV,95,7/15/2019
3759,PSV,93,7/22/2019
3760,PSV,96,7/29/2019
3761,PSV,81,8/5/2019
3762,PSV,93,8/12/2019
3763,PSV,53,8/19/2019
3764,PSV,38,8/26/2019
3765,PSV,22,9/2/2019
3766,PSV,30,9/9/2019
3767,PSV,16,9/16/2019
3768,PSV,25,9/23/2019
3769,PSV,19,9/30/2019
3770,PSV,14,10/7/2019
3771,PSV,19,10/14/2019
3772,PSV,16,10/21/2019
3773,PSV,15,10/28/2019
3774,PSV,10,11/4/2019
3775,PSV,19,11/11/2019
3776,PSV,11,11/18/2019
3777,PSV,14,11/25/2019
3778,PSV,31,12/2/2019
3779,PSV,37,12/9/2019
3780,PSV,26,12/16/2019
3781,PSV,38,12/23/2019
3782,WiiU,472099,11/19/2012
3783,WiiU,321306,11/26/2012
3784,WiiU,529269,12/3/2012
3785,WiiU,333322,12/10/2012
3786,WiiU,318607,12/17/2012
3787,WiiU,189631,12/24/2012
3788,WiiU,117911,12/31/2012
3789,WiiU,46675,1/7/2013
3790,WiiU,35110,1/14/2013
3791,WiiU,31386,1/21/2013
3792,WiiU,33926,1/28/2013
3793,WiiU,33744,2/4/2013
3794,WiiU,35750,2/11/2013
3795,WiiU,32741,2/18/2013
3796,WiiU,27562,2/25/2013
3797,WiiU,26498,3/4/2013
3798,WiiU,26295,3/11/2013
3799,WiiU,49784,3/18/2013
3800,WiiU,60456,3/25/2013
3801,WiiU,41630,4/1/2013
3802,WiiU,31371,4/8/2013
3803,WiiU,29961,4/15/2013
3804,WiiU,27706,4/22/2013
3805,WiiU,29252,4/29/2013
3806,WiiU,23500,5/6/2013
3807,WiiU,21108,5/13/2013
3808,WiiU,22112,5/20/2013
3809,WiiU,21912,5/27/2013
3810,WiiU,20268,6/3/2013
3811,WiiU,19251,6/10/2013
3812,WiiU,17711,6/17/2013
3813,WiiU,20102,6/24/2013
3814,WiiU,21177,7/1/2013
3815,WiiU,35480,7/8/2013
3816,WiiU,28987,7/15/2013
3817,WiiU,27389,7/22/2013
3818,WiiU,24714,7/29/2013
3819,WiiU,29927,8/5/2013
3820,WiiU,27591,8/12/2013
3821,WiiU,22286,8/19/2013
3822,WiiU,20435,8/26/2013
3823,WiiU,21284,9/2/2013
3824,WiiU,18767,9/9/2013
3825,WiiU,32222,9/16/2013
3826,WiiU,41198,9/23/2013
3827,WiiU,67009,9/30/2013
3828,WiiU,42578,10/7/2013
3829,WiiU,31328,10/14/2013
3830,WiiU,29449,10/21/2013
3831,WiiU,74713,10/28/2013
3832,WiiU,59236,11/4/2013
3833,WiiU,71374,11/11/2013
3834,WiiU,104023,11/18/2013
3835,WiiU,240103,11/25/2013
3836,WiiU,198058,12/2/2013
3837,WiiU,275278,12/9/2013
3838,WiiU,350743,12/16/2013
3839,WiiU,244104,12/23/2013
3840,WiiU,118339,12/30/2013
3841,WiiU,51141,1/6/2014
3842,WiiU,39418,1/13/2014
3843,WiiU,33344,1/20/2014
3844,WiiU,33185,1/27/2014
3845,WiiU,35144,2/3/2014
3846,WiiU,42092,2/10/2014
3847,WiiU,46095,2/17/2014
3848,WiiU,39826,2/24/2014
3849,WiiU,35130,3/3/2014
3850,WiiU,34859,3/10/2014
3851,WiiU,36371,3/17/2014
3852,WiiU,38415,3/24/2014
3853,WiiU,31694,3/31/2014
3854,WiiU,27423,4/7/2014
3855,WiiU,29115,4/14/2014
3856,WiiU,26864,4/21/2014
3857,WiiU,27755,4/28/2014
3858,WiiU,27255,5/5/2014
3859,WiiU,25983,5/12/2014
3860,WiiU,28630,5/19/2014
3861,WiiU,123064,5/26/2014
3862,WiiU,88836,6/2/2014
3863,WiiU,67928,6/9/2014
3864,WiiU,58092,6/16/2014
3865,WiiU,56217,6/23/2014
3866,WiiU,57006,6/30/2014
3867,WiiU,52783,7/7/2014
3868,WiiU,51149,7/14/2014
3869,WiiU,50431,7/21/2014
3870,WiiU,48175,7/28/2014
3871,WiiU,50074,8/4/2014
3872,WiiU,52500,8/11/2014
3873,WiiU,41497,8/18/2014
3874,WiiU,39940,8/25/2014
3875,WiiU,35521,9/1/2014
3876,WiiU,35248,9/8/2014
3877,WiiU,38415,9/15/2014
3878,WiiU,49337,9/22/2014
3879,WiiU,41038,9/29/2014
3880,WiiU,36505,10/6/2014
3881,WiiU,38892,10/13/2014
3882,WiiU,44337,10/20/2014
3883,WiiU,50999,10/27/2014
3884,WiiU,53555,11/3/2014
3885,WiiU,77230,11/10/2014
3886,WiiU,129677,11/17/2014
3887,WiiU,260020,11/24/2014
3888,WiiU,207218,12/1/2014
3889,WiiU,250188,12/8/2014
3890,WiiU,289447,12/15/2014
3891,WiiU,274362,12/22/2014
3892,WiiU,130995,12/29/2014
3893,WiiU,45284,1/5/2015
3894,WiiU,38408,1/12/2015
3895,WiiU,33146,1/19/2015
3896,WiiU,35005,1/26/2015
3897,WiiU,40201,2/2/2015
3898,WiiU,50624,2/9/2015
3899,WiiU,46648,2/16/2015
3900,WiiU,36094,2/23/2015
3901,WiiU,31575,3/2/2015
3902,WiiU,29609,3/9/2015
3903,WiiU,45031,3/16/2015
3904,WiiU,36317,3/23/2015
3905,WiiU,32254,3/30/2015
3906,WiiU,29874,4/6/2015
3907,WiiU,28516,4/13/2015
3908,WiiU,29240,4/20/2015
3909,WiiU,44206,4/27/2015
3910,WiiU,29746,5/4/2015
3911,WiiU,25123,5/11/2015
3912,WiiU,25595,5/18/2015
3913,WiiU,54586,5/25/2015
3914,WiiU,53660,6/1/2015
3915,WiiU,47346,6/8/2015
3916,WiiU,45310,6/15/2015
3917,WiiU,40730,6/22/2015
3918,WiiU,37805,6/29/2015
3919,WiiU,33521,7/6/2015
3920,WiiU,34224,7/13/2015
3921,WiiU,34048,7/20/2015
3922,WiiU,34306,7/27/2015
3923,WiiU,34978,8/3/2015
3924,WiiU,37806,8/10/2015
3925,WiiU,31980,8/17/2015
3926,WiiU,32119,8/24/2015
3927,WiiU,29755,8/31/2015
3928,WiiU,62858,9/7/2015
3929,WiiU,48381,9/14/2015
3930,WiiU,47320,9/21/2015
3931,WiiU,37686,9/28/2015
3932,WiiU,36390,10/5/2015
3933,WiiU,39331,10/12/2015
3934,WiiU,42596,10/19/2015
3935,WiiU,49549,10/26/2015
3936,WiiU,54949,11/2/2015
3937,WiiU,71326,11/9/2015
3938,WiiU,96727,11/16/2015
3939,WiiU,255592,11/23/2015
3940,WiiU,186244,11/30/2015
3941,WiiU,234590,12/7/2015
3942,WiiU,302130,12/14/2015
3943,WiiU,343021,12/21/2015
3944,WiiU,136957,12/28/2015
3945,WiiU,49338,1/4/2016
3946,WiiU,34347,1/11/2016
3947,WiiU,28008,1/18/2016
3948,WiiU,28927,1/25/2016
3949,WiiU,28312,2/1/2016
3950,WiiU,31060,2/8/2016
3951,WiiU,31378,2/15/2016
3952,WiiU,27394,2/22/2016
3953,WiiU,30835,2/29/2016
3954,WiiU,25560,3/7/2016
3955,WiiU,37045,3/14/2016
3956,WiiU,24836,3/21/2016
3957,WiiU,22098,3/28/2016
3958,WiiU,22300,4/4/2016
3959,WiiU,22688,4/11/2016
3960,WiiU,22743,4/18/2016
3961,WiiU,25896,4/25/2016
3962,WiiU,21525,5/2/2016
3963,WiiU,17403,5/9/2016
3964,WiiU,17742,5/16/2016
3965,WiiU,17519,5/23/2016
3966,WiiU,18243,5/30/2016
3967,WiiU,16804,6/6/2016
3968,WiiU,17313,6/13/2016
3969,WiiU,17244,6/20/2016
3970,WiiU,16895,6/27/2016
3971,WiiU,26950,7/4/2016
3972,WiiU,19460,7/11/2016
3973,WiiU,17775,7/18/2016
3974,WiiU,17356,7/25/2016
3975,WiiU,16173,8/1/2016
3976,WiiU,16435,8/8/2016
3977,WiiU,15891,8/15/2016
3978,WiiU,16191,8/22/2016
3979,WiiU,16037,8/29/2016
3980,WiiU,17395,9/5/2016
3981,WiiU,17545,9/12/2016
3982,WiiU,18673,9/19/2016
3983,WiiU,18658,9/26/2016
3984,WiiU,16965,10/3/2016
3985,WiiU,14775,10/10/2016
3986,WiiU,13111,10/17/2016
3987,WiiU,14170,10/24/2016
3988,WiiU,16744,10/31/2016
3989,WiiU,18599,11/7/2016
3990,WiiU,21995,11/14/2016
3991,WiiU,51538,11/21/2016
3992,WiiU,38211,11/28/2016
3993,WiiU,39620,12/5/2016
3994,WiiU,43454,12/12/2016
3995,WiiU,45653,12/19/2016
3996,WiiU,19903,12/26/2016
3997,WiiU,7041,1/2/2017
3998,WiiU,4105,1/9/2017
3999,WiiU,3393,1/16/2017
4000,WiiU,3187,1/23/2017
4001,WiiU,3154,1/30/2017
4002,WiiU,2849,2/6/2017
4003,WiiU,2643,2/13/2017
4004,WiiU,2712,2/20/2017
4005,WiiU,2790,2/27/2017
4006,WiiU,2473,3/6/2017
4007,WiiU,2382,3/13/2017
4008,WiiU,2360,3/20/2017
4009,WiiU,2373,3/27/2017
4010,WiiU,2101,4/3/2017
4011,WiiU,1980,4/10/2017
4012,WiiU,2041,4/17/2017
4013,WiiU,2091,4/24/2017
4014,WiiU,2164,5/1/2017
4015,WiiU,1875,5/8/2017
4016,WiiU,1833,5/15/2017
4017,WiiU,1828,5/22/2017
4018,WiiU,1788,5/29/2017
4019,WiiU,1845,6/5/2017
4020,WiiU,1736,6/12/2017
4021,WiiU,1615,6/19/2017
4022,WiiU,1766,6/26/2017
4023,WiiU,1663,7/3/2017
4024,WiiU,1598,7/10/2017
4025,WiiU,1557,7/17/2017
4026,WiiU,1497,7/24/2017
4027,WiiU,1510,7/31/2017
4028,WiiU,1567,8/7/2017
4029,WiiU,1547,8/14/2017
4030,WiiU,1521,8/21/2017
4031,WiiU,1480,8/28/2017
4032,WiiU,1396,9/4/2017
4033,WiiU,1345,9/11/2017
4034,WiiU,1325,9/18/2017
4035,WiiU,1287,9/25/2017
4036,WiiU,1223,10/2/2017
4037,WiiU,1217,10/9/2017
4038,WiiU,1200,10/16/2017
4039,WiiU,1181,10/23/2017
4040,WiiU,1168,10/30/2017
4041,WiiU,1152,11/6/2017
4042,WiiU,1238,11/13/2017
4043,WiiU,1390,11/20/2017
4044,WiiU,1294,11/27/2017
4045,WiiU,1281,12/4/2017
4046,WiiU,1359,12/11/2017
4047,WiiU,1289,12/18/2017
4048,WiiU,560,12/25/2017
4049,PS4,1071184,11/11/2013
4050,PS4,103775,11/18/2013
4051,PS4,966210,11/25/2013
4052,PS4,349355,12/2/2013
4053,PS4,482187,12/9/2013
4054,PS4,738673,12/16/2013
4055,PS4,463906,12/23/2013
4056,PS4,271710,12/30/2013
4057,PS4,181696,1/6/2014
4058,PS4,163825,1/13/2014
4059,PS4,158073,1/20/2014
4060,PS4,164457,1/27/2014
4061,PS4,151936,2/3/2014
4062,PS4,131500,2/10/2014
4063,PS4,439621,2/17/2014
4064,PS4,163317,2/24/2014
4065,PS4,134626,3/3/2014
4066,PS4,155118,3/10/2014
4067,PS4,234428,3/17/2014
4068,PS4,198320,3/24/2014
4069,PS4,182431,3/31/2014
4070,PS4,164880,4/7/2014
4071,PS4,166134,4/14/2014
4072,PS4,151100,4/21/2014
4073,PS4,144185,4/28/2014
4074,PS4,143857,5/5/2014
4075,PS4,132098,5/12/2014
4076,PS4,137337,5/19/2014
4077,PS4,221037,5/26/2014
4078,PS4,164069,6/2/2014
4079,PS4,153360,6/9/2014
4080,PS4,152538,6/16/2014
4081,PS4,165308,6/23/2014
4082,PS4,165390,6/30/2014
4083,PS4,156690,7/7/2014
4084,PS4,152361,7/14/2014
4085,PS4,146947,7/21/2014
4086,PS4,203569,7/28/2014
4087,PS4,155866,8/4/2014
4088,PS4,140138,8/11/2014
4089,PS4,142717,8/18/2014
4090,PS4,157161,8/25/2014
4091,PS4,148485,9/1/2014
4092,PS4,508882,9/8/2014
4093,PS4,246371,9/15/2014
4094,PS4,385630,9/22/2014
4095,PS4,292517,9/29/2014
4096,PS4,272330,10/6/2014
4097,PS4,258615,10/13/2014
4098,PS4,275746,10/20/2014
4099,PS4,278020,10/27/2014
4100,PS4,425678,11/3/2014
4101,PS4,430953,11/10/2014
4102,PS4,547091,11/17/2014
4103,PS4,1037032,11/24/2014
4104,PS4,711076,12/1/2014
4105,PS4,722893,12/8/2014
4106,PS4,786000,12/15/2014
4107,PS4,659100,12/22/2014
4108,PS4,359409,12/29/2014
4109,PS4,198399,1/5/2015
4110,PS4,158215,1/12/2015
4111,PS4,156694,1/19/2015
4112,PS4,172907,1/26/2015
4113,PS4,190058,2/2/2015
4114,PS4,216053,2/9/2015
4115,PS4,272539,2/16/2015
4116,PS4,287443,2/23/2015
4117,PS4,243191,3/2/2015
4118,PS4,233449,3/9/2015
4119,PS4,306164,3/16/2015
4120,PS4,314790,3/23/2015
4121,PS4,253724,3/30/2015
4122,PS4,222940,4/6/2015
4123,PS4,200787,4/13/2015
4124,PS4,195318,4/20/2015
4125,PS4,182770,4/27/2015
4126,PS4,173753,5/4/2015
4127,PS4,160781,5/11/2015
4128,PS4,193161,5/18/2015
4129,PS4,168644,5/25/2015
4130,PS4,174107,6/1/2015
4131,PS4,182529,6/8/2015
4132,PS4,189192,6/15/2015
4133,PS4,354519,6/22/2015
4134,PS4,257750,6/29/2015
4135,PS4,202767,7/6/2015
4136,PS4,200607,7/13/2015
4137,PS4,182142,7/20/2015
4138,PS4,184909,7/27/2015
4139,PS4,178146,8/3/2015
4140,PS4,182659,8/10/2015
4141,PS4,184459,8/17/2015
4142,PS4,205754,8/24/2015
4143,PS4,315140,8/31/2015
4144,PS4,225570,9/7/2015
4145,PS4,239005,9/14/2015
4146,PS4,299138,9/21/2015
4147,PS4,273306,9/28/2015
4148,PS4,278222,10/5/2015
4149,PS4,258038,10/12/2015
4150,PS4,287764,10/19/2015
4151,PS4,305578,10/26/2015
4152,PS4,676929,11/2/2015
4153,PS4,594946,11/9/2015
4154,PS4,762120,11/16/2015
4155,PS4,1507202,11/23/2015
4156,PS4,791700,11/30/2015
4157,PS4,852298,12/7/2015
4158,PS4,985740,12/14/2015
4159,PS4,1073584,12/21/2015
4160,PS4,524627,12/28/2015
4161,PS4,230897,1/4/2016
4162,PS4,210121,1/11/2016
4163,PS4,201159,1/18/2016
4164,PS4,216085,1/25/2016
4165,PS4,260443,2/1/2016
4166,PS4,258899,2/8/2016
4167,PS4,273410,2/15/2016
4168,PS4,249005,2/22/2016
4169,PS4,220077,2/29/2016
4170,PS4,241037,3/7/2016
4171,PS4,232942,3/14/2016
4172,PS4,225617,3/21/2016
4173,PS4,211748,3/28/2016
4174,PS4,186370,4/4/2016
4175,PS4,178419,4/11/2016
4176,PS4,174440,4/18/2016
4177,PS4,180185,4/25/2016
4178,PS4,177338,5/2/2016
4179,PS4,224851,5/9/2016
4180,PS4,181451,5/16/2016
4181,PS4,209650,5/23/2016
4182,PS4,203043,5/30/2016
4183,PS4,198686,6/6/2016
4184,PS4,202778,6/13/2016
4185,PS4,215284,6/20/2016
4186,PS4,207705,6/27/2016
4187,PS4,195205,7/4/2016
4188,PS4,190082,7/11/2016
4189,PS4,184953,7/18/2016
4190,PS4,210226,7/25/2016
4191,PS4,185812,8/1/2016
4192,PS4,189249,8/8/2016
4193,PS4,195704,8/15/2016
4194,PS4,215997,8/22/2016
4195,PS4,227931,8/29/2016
4196,PS4,233557,9/5/2016
4197,PS4,364724,9/12/2016
4198,PS4,309800,9/19/2016
4199,PS4,361893,9/26/2016
4200,PS4,328696,10/3/2016
4201,PS4,320235,10/10/2016
4202,PS4,349053,10/17/2016
4203,PS4,344046,10/24/2016
4204,PS4,508710,10/31/2016
4205,PS4,794156,11/7/2016
4206,PS4,691774,11/14/2016
4207,PS4,1229270,11/21/2016
4208,PS4,921229,11/28/2016
4209,PS4,953899,12/5/2016
4210,PS4,1037140,12/12/2016
4211,PS4,1148712,12/19/2016
4212,PS4,548161,12/26/2016
4213,PS4,363699,1/2/2017
4214,PS4,273898,1/9/2017
4215,PS4,253673,1/16/2017
4216,PS4,270143,1/23/2017
4217,PS4,298417,1/30/2017
4218,PS4,298274,2/6/2017
4219,PS4,336203,2/13/2017
4220,PS4,340171,2/20/2017
4221,PS4,274776,2/27/2017
4222,PS4,285626,3/6/2017
4223,PS4,314040,3/13/2017
4224,PS4,314078,3/20/2017
4225,PS4,303628,3/27/2017
4226,PS4,262830,4/3/2017
4227,PS4,253191,4/10/2017
4228,PS4,236610,4/17/2017
4229,PS4,229792,4/24/2017
4230,PS4,274594,5/1/2017
4231,PS4,278503,5/8/2017
4232,PS4,281433,5/15/2017
4233,PS4,290336,5/22/2017
4234,PS4,297894,5/29/2017
4235,PS4,284402,6/5/2017
4236,PS4,305880,6/12/2017
4237,PS4,321279,6/19/2017
4238,PS4,291572,6/26/2017
4239,PS4,262605,7/3/2017
4240,PS4,268878,7/10/2017
4241,PS4,248129,7/17/2017
4242,PS4,359394,7/24/2017
4243,PS4,264635,7/31/2017
4244,PS4,261025,8/7/2017
4245,PS4,252943,8/14/2017
4246,PS4,260345,8/21/2017
4247,PS4,263197,8/28/2017
4248,PS4,299011,9/4/2017
4249,PS4,266489,9/11/2017
4250,PS4,265216,9/18/2017
4251,PS4,295690,9/25/2017
4252,PS4,276471,10/2/2017
4253,PS4,279985,10/9/2017
4254,PS4,321278,10/16/2017
4255,PS4,312137,10/23/2017
4256,PS4,482196,10/30/2017
4257,PS4,640725,11/6/2017
4258,PS4,757013,11/13/2017
4259,PS4,1623712,11/20/2017
4260,PS4,803423,11/27/2017
4261,PS4,862299,12/4/2017
4262,PS4,857206,12/11/2017
4263,PS4,874421,12/18/2017
4264,PS4,512163,12/25/2017
4265,PS4,377648,1/1/2018
4266,PS4,273094,1/8/2018
4267,PS4,275256,1/15/2018
4268,PS4,395821,1/22/2018
4269,PS4,351477,1/29/2018
4270,PS4,343520,2/5/2018
4271,PS4,319760,2/12/2018
4272,PS4,303507,2/19/2018
4273,PS4,277184,2/26/2018
4274,PS4,273244,3/5/2018
4275,PS4,265599,3/12/2018
4276,PS4,262051,3/19/2018
4277,PS4,257800,3/26/2018
4278,PS4,232210,4/2/2018
4279,PS4,231953,4/9/2018
4280,PS4,308126,4/16/2018
4281,PS4,281363,4/23/2018
4282,PS4,250751,4/30/2018
4283,PS4,221366,5/7/2018
4284,PS4,214492,5/14/2018
4285,PS4,219464,5/21/2018
4286,PS4,213032,5/28/2018
4287,PS4,242931,6/4/2018
4288,PS4,242545,6/11/2018
4289,PS4,240291,6/18/2018
4290,PS4,227404,6/25/2018
4291,PS4,210331,7/2/2018
4292,PS4,202023,7/9/2018
4293,PS4,204625,7/16/2018
4294,PS4,211773,7/23/2018
4295,PS4,201103,7/30/2018
4296,PS4,205497,8/6/2018
4297,PS4,218866,8/13/2018
4298,PS4,229943,8/20/2018
4299,PS4,230191,8/27/2018
4300,PS4,324289,9/3/2018
4301,PS4,317796,9/10/2018
4302,PS4,305093,9/17/2018
4303,PS4,316668,9/24/2018
4304,PS4,295691,10/1/2018
4305,PS4,319568,10/8/2018
4306,PS4,322623,10/15/2018
4307,PS4,347948,10/22/2018
4308,PS4,376820,10/29/2018
4309,PS4,465180,11/5/2018
4310,PS4,568999,11/12/2018
4311,PS4,1573646,11/19/2018
4312,PS4,869756,11/26/2018
4313,PS4,738284,12/3/2018
4314,PS4,768717,12/10/2018
4315,PS4,785382,12/17/2018
4316,PS4,485566,12/24/2018
4317,PS4,372566,12/31/2018
4318,PS4,225011,1/7/2019
4319,PS4,217833,1/14/2019
4320,PS4,256901,1/21/2019
4321,PS4,245882,1/28/2019
4322,PS4,246245,2/4/2019
4323,PS4,246681,2/11/2019
4324,PS4,239614,2/18/2019
4325,PS4,247410,2/25/2019
4326,PS4,222481,3/4/2019
4327,PS4,223753,3/11/2019
4328,PS4,221931,3/18/2019
4329,PS4,205157,3/25/2019
4330,PS4,194310,4/1/2019
4331,PS4,196459,4/8/2019
4332,PS4,204829,4/15/2019
4333,PS4,200193,4/22/2019
4334,PS4,202665,4/29/2019
4335,PS4,194541,5/6/2019
4336,PS4,186719,5/13/2019
4337,PS4,190711,5/20/2019
4338,PS4,191401,5/27/2019
4339,PS4,225161,6/3/2019
4340,PS4,218211,6/10/2019
4341,PS4,204190,6/17/2019
4342,PS4,210317,6/24/2019
4343,PS4,190002,7/1/2019
4344,PS4,174560,7/8/2019
4345,PS4,181583,7/15/2019
4346,PS4,176732,7/22/2019
4347,PS4,167269,7/29/2019
4348,PS4,173161,8/5/2019
4349,PS4,172393,8/12/2019
4350,PS4,167345,8/19/2019
4351,PS4,175763,8/26/2019
4352,PS4,229833,9/2/2019
4353,PS4,225243,9/9/2019
4354,PS4,213981,9/16/2019
4355,PS4,228985,9/23/2019
4356,PS4,211635,9/30/2019
4357,PS4,210915,10/7/2019
4358,PS4,218898,10/14/2019
4359,PS4,236544,10/21/2019
4360,PS4,264479,10/28/2019
4361,PS4,316977,11/4/2019
4362,PS4,356110,11/11/2019
4363,PS4,452072,11/18/2019
4364,PS4,1323523,11/25/2019
4365,PS4,576699,12/2/2019
4366,PS4,502298,12/9/2019
4367,PS4,708411,12/16/2019
4368,PS4,409810,12/23/2019
4369,PS4,225734,12/30/2019
4370,PS4,175863,1/6/2020
4371,PS4,141296,1/13/2020
4372,PS4,139224,1/20/2020
4373,PS4,129855,1/27/2020
4374,PS4,148577,2/3/2020
4375,PS4,153789,2/10/2020
4376,PS4,141666,2/17/2020
4377,PS4,156608,2/24/2020
4378,PS4,191496,3/2/2020
4379,PS4,220311,3/9/2020
4380,PS4,234231,3/16/2020
4381,PS4,233950,3/23/2020
4382,PS4,225609,3/30/2020
4383,PS4,373388,4/6/2020
4384,PS4,284329,4/13/2020
4385,PS4,270380,4/20/2020
4386,PS4,224297,4/27/2020
4387,PS4,192440,5/4/2020
4388,PS4,174075,5/11/2020
4389,PS4,157895,5/18/2020
4390,PS4,158822,5/25/2020
4391,PS4,178425,6/1/2020
4392,PS4,177736,6/8/2020
4393,PS4,207302,6/15/2020
4394,PS4,182692,6/22/2020
4395,PS4,154698,6/29/2020
4396,PS4,134229,7/6/2020
4397,PS4,133133,7/13/2020
4398,PS4,122889,7/20/2020
4399,PS4,119788,7/27/2020
4400,PS4,131155,8/3/2020
4401,PS4,130464,8/10/2020
4402,PS4,129811,8/17/2020
4403,PS4,130233,8/24/2020
4404,PS4,116412,8/31/2020
4405,PS4,115871,9/7/2020
4406,PS4,115030,9/14/2020
4407,PS4,118950,9/21/2020
4408,PS4,118837,9/28/2020
4409,PS4,88249,10/5/2020
4410,PS4,88262,10/12/2020
4411,PS4,87861,10/19/2020
4412,PS4,92702,10/26/2020
4413,PS4,105822,11/2/2020
4414,PS4,113301,11/9/2020
4415,PS4,120614,11/16/2020
4416,PS4,161096,11/23/2020
4417,PS4,142404,11/30/2020
4418,PS4,143370,12/7/2020
4419,PS4,163365,12/14/2020
4420,PS4,139859,12/21/2020
4421,PS4,109498,12/28/2020
4422,PS4,99973,1/4/2021
4423,PS4,89480,1/11/2021
4424,PS4,86242,1/18/2021
4425,PS4,84405,1/25/2021
4426,PS4,84003,2/1/2021
4427,PS4,82875,2/8/2021
4428,PS4,81213,2/15/2021
4429,PS4,79868,2/22/2021
4430,PS4,79220,3/1/2021
4431,PS4,77186,3/8/2021
4432,PS4,73640,3/15/2021
4433,PS4,66375,3/22/2021
4434,PS4,63379,3/29/2021
4435,PS4,62996,4/5/2021
4436,PS4,59256,4/12/2021
4437,PS4,51742,4/19/2021
4438,PS4,51384,4/26/2021
4439,PS4,51620,5/3/2021
4440,PS4,50134,5/10/2021
4441,PS4,48010,5/17/2021
4442,PS4,46613,5/24/2021
4443,PS4,43207,5/31/2021
4444,PS4,43230,6/7/2021
4445,PS4,39597,6/14/2021
4446,PS4,40018,6/21/2021
4447,PS4,37222,6/28/2021
4448,PS4,33162,7/5/2021
4449,PS4,31240,7/12/2021
4450,PS4,32986,7/19/2021
4451,PS4,32853,7/26/2021
4452,PS4,30222,8/2/2021
4453,PS4,28894,8/9/2021
4454,PS4,28373,8/16/2021
4455,PS4,29325,8/23/2021
4456,PS4,30969,8/30/2021
4457,PS4,32082,9/6/2021
4458,PS4,28254,9/13/2021
4459,PS4,28124,9/20/2021
4460,PS4,28213,9/27/2021
4461,PS4,29959,10/4/2021
4462,PS4,29706,10/11/2021
4463,PS4,29451,10/18/2021
4464,PS4,29727,10/25/2021
4465,PS4,28789,11/1/2021
4466,PS4,30712,11/8/2021
4467,PS4,27583,11/15/2021
4468,PS4,32559,11/22/2021
4469,PS4,29517,11/29/2021
4470,PS4,29045,12/6/2021
4471,PS4,31229,12/13/2021
4472,PS4,27551,12/20/2021
4473,PS4,22904,12/27/2021
4474,PS4,7071,1/3/2022
4475,PS4,6710,1/10/2022
4476,PS4,6378,1/17/2022
4477,PS4,6347,1/24/2022
4478,PS4,6307,1/31/2022
4479,PS4,4205,2/7/2022
4480,PS4,4756,2/14/2022
4481,PS4,4488,2/21/2022
4482,PS4,4290,2/28/2022
4483,PS4,4187,3/7/2022
4484,PS4,4088,3/14/2022
4485,PS4,3917,3/21/2022
4486,PS4,3723,3/28/2022
4487,PS4,3843,4/4/2022
4488,PS4,3840,4/11/2022
4489,PS4,3691,4/18/2022
4490,PS4,3529,4/25/2022
4491,PS4,3308,5/2/2022
4492,PS4,3044,5/9/2022
4493,PS4,2974,5/16/2022
4494,PS4,3000,5/23/2022
4495,PS4,2956,5/30/2022
4496,PS4,2890,6/6/2022
4497,PS4,2822,6/13/2022
4498,PS4,2604,6/20/2022
4499,PS4,2662,6/27/2022
4500,PS4,2675,7/4/2022
4501,PS4,2785,7/11/2022
4502,PS4,2437,7/18/2022
4503,PS4,2505,7/25/2022
4504,PS4,2585,8/1/2022
4505,PS4,2564,8/8/2022
4506,PS4,2522,8/15/2022
4507,PS4,2627,8/22/2022
4508,PS4,2445,8/29/2022
4509,PS4,2487,9/5/2022
4510,PS4,2567,9/12/2022
4511,PS4,2767,9/19/2022
4512,PS4,2980,9/26/2022
4513,PS4,3102,10/3/2022
4514,PS4,2990,10/10/2022
4515,PS4,3565,10/17/2022
4516,PS4,3541,10/24/2022
4517,PS4,3901,10/31/2022
4518,PS4,3796,11/7/2022
4519,PS4,13898,11/14/2022
4520,PS4,8519,11/21/2022
4521,PS4,13077,11/28/2022
4522,PS4,11058,12/5/2022
4523,PS4,13201,12/12/2022
4524,PS4,11996,12/19/2022
4525,PS4,7742,12/26/2022
4526,PS4,5383,1/2/2023
4527,PS4,4050,1/9/2023
4528,PS4,5510,1/16/2023
4529,PS4,4077,1/23/2023
4530,PS4,4815,1/30/2023
4531,PS4,6341,2/6/2023
4532,PS4,5361,2/13/2023
4533,PS4,4963,2/20/2023
4534,PS4,5894,2/27/2023
4535,PS4,4964,3/6/2023
4536,PS4,4432,3/13/2023
4537,PS4,4948,3/20/2023
4538,PS4,4904,3/27/2023
4539,PS4,4550,4/3/2023
4540,PS4,4747,4/10/2023
4541,PS4,4012,4/17/2023
4542,PS4,4623,4/24/2023
4543,PS4,4548,5/1/2023
4544,PS4,4127,5/8/2023
4545,PS4,4235,5/15/2023
4546,PS4,4198,5/22/2023
4547,PS4,6071,5/29/2023
4548,PS4,5554,6/5/2023
4549,PS4,4895,6/12/2023
4550,PS4,6330,6/19/2023
4551,PS4,5880,6/26/2023
4552,PS4,7921,7/3/2023
4553,PS4,5342,7/10/2023
4554,PS4,8969,7/17/2023
4555,PS4,4344,7/24/2023
4556,PS4,4567,7/31/2023
